CALLSIGN,TIME,LATITUDE,LONGITUDE,ALTITUDE,SPEED,TRACK,VERTICAL_RATE
STK26GL, 1496326938550, 53.897343, -6.133602, 10000, 242.0, 16.6, 832
STK26GL, 1496326946211, 53.903767, -6.13029, 10050, 242.0, 16.6, 768
STK26GL, 1496326951633, 53.910004, -6.12714, 10125, 243.0, 16.7, 768
STK26GL, 1496326955878, 53.918526, -6.122778, 10250, 243.0, 16.7, 896
STK26GL, 1496326962149, 53.921318, -6.121324, 10275, 243.0, 16.7, 896
STK26GL, 1496326978452, 53.939713, -6.11193, 10500, 245.0, 16.8, 704
STK26GL, 1496326979726, 53.939713, -6.11193, 10500, 245.0, 16.8, 768
STK26GL, 1496327001617, 53.963028, -6.099997, 10775, 247.0, 16.7, 832
STK26GL, 1496327005804, 53.970291, -6.096235, 10825, 247.0, 16.9, 768
STK26GL, 1496327009920, 53.972809, -6.094901, 10875, 247.0, 16.9, 768
STK26GL, 1496327012577, 53.976471, -6.093018, 10925, 248.0, 16.8, 768
STK26GL, 1496327017421, 53.978989, -6.091762, 10975, 248.0, 16.8, 768
STK26GL, 1496327028008, 53.991055, -6.085537, 11150, 249.0, 16.8, 768
STK26GL, 1496327037019, 54.005669, -6.078024, 11275, 250.0, 16.7, 704
STK26GL, 1496327046257, 54.01321, -6.074147, 11350, 250.0, 16.7, 768
STK26GL, 1496327051545, 54.020782, -6.070182, 11450, 251.0, 18.1, 832
STK26GL, 1496327055601, 54.025688, -6.06728, 11500, 252.0, 19.9, 768
STK26GL, 1496327084435, 54.056808, -6.043265, 11800, 257.0, 25.6, 640
STK26GL, 1496327088238, 54.059532, -6.041026, 11850, 257.0, 25.6, 704
STK26GL, 1496327098991, 54.070129, -6.032436, 11975, 258.0, 25.5, 640
STK26GL, 1496327112317, 54.090675, -6.015661, 12150, 259.0, 25.8, 576
STK26GL, 1496327118482, 54.070129, -6.032436, 11975, 258.0, 25.5, 640
STK26GL, 1496327125132, 54.0998, -6.008229, 12250, 260.0, 25.7, 640
STK26GL, 1496327145622, 54.122635, -5.989511, 12475, 261.0, 25.6, 640
STK26GL, 1496327153270, 54.13147, -5.982291, 12575, 261.0, 25.6, 704
STK26GL, 1496327183341, 54.162971, -5.956448, 12925, 260.0, 25.7, 640
STK26GL, 1496327197803, 54.178848, -5.943368, 13100, 260.0, 25.7, 768
STK26GL, 1496327234153, 54.215927, -5.91292, 13500, 260.0, 25.7, 768
STK26GL, 1496327238773, 54.221485, -5.908383, 13575, 261.0, 25.6, 896
STK26GL, 1496327253169, 54.238384, -5.894407, 13775, 263.0, 25.7, 704
STK26GL, 1496327268887, 54.256401, -5.879624, 13950, 265.0, 25.7, 512
STK26GL, 1496327282411, 54.271437, -5.867184, 14000, 266.0, 25.6, 512
STK26GL, 1496327313475, 54.303909, -5.840364, 14400, 259.9, 25.8, 832
STK26GL, 1496327322710, 54.314209, -5.831882, 14525, 257.6, 25.8, 768
STK26GL, 1496327331100, 54.322179, -5.825251, 14600, 257.6, 25.8, 576
STK26GL, 1496327339512, 54.333398, -5.815929, 14700, 258.5, 25.7, 640
STK26GL, 1496327342881, 54.335353, -5.814348, 14725, 258.5, 25.7, 640
STK26GL, 1496327361433, 54.356003, -5.797308, 14925, 261.2, 25.9, 640
KLM29L, 1496327361433, 54.290337, -0.67466, 36000, 433.1, 319.0, 0
